NO.,NAMA KONTRAKTOR, GRED, NEGERI, DAERAH, NO. TELEFON, NO. FAKS, PPK, SPKK, STB
234,NRLL SHAHIRA ENTERPRISE,G1,PERAK,MANJUNG, 01-95600316, , Yes, Yes, Yes
235,NS PINK EMPIRE,G1,PERAK,MANJUNG,193894656, , Yes, Yes, Yes
236,NSR SERI JAYA ENTERPRISE,G1,PERAK,MANJUNG, 05-56912695, , Yes, Yes, Yes
237,NTS SUPPLY & SERVICE,G1,PERAK,MANJUNG, 01-25089970, , Yes, Yes, Yes
238,NURULSHAM ENTERPRISE,G1,PERAK,MANJUNG, 01-93591282, , Yes, Yes, Yes
239,NUSANTARA IMPIAN ENTERPRISE,G1,PERAK,MANJUNG, 01-64444551, , Yes, Yes, Yes
240,NZAM BGD ENTERPRISE,G1,PERAK,MANJUNG, 05-6886609, , Yes, Yes, Yes
241,OCEAN WAVES RESOURCES,G1,PERAK,MANJUNG, 01-95745047, , Yes, Yes, Yes
242,OCTAVIA ENTERPRISE,G1,PERAK,MANJUNG, 01-94199478, -, Yes, Yes, Yes
243,OEA ENGINEERING AND TRADING,G1,PERAK,MANJUNG,168784877, , Yes, Yes, Yes
244,OLY JAYA ENTERPRISE,G1,PERAK,MANJUNG, 05-6888713, -, Yes, Yes, Yes
245,OPPDMEF ENTERPRISE,G1,PERAK,MANJUNG, 01-95671144, , Yes, Yes, Yes
246,ORIZDI ENTERPRISE,G1,PERAK,MANJUNG,56888169,56889114, Yes, Yes, Yes
247,PASTIMAS ENTERPRISE,G1,PERAK,MANJUNG, 05-6884327, 05-6889303, Yes, Yes, Yes
248,PASTINI TRADING,G1,PERAK,MANJUNG,194606123, , Yes, Yes, Yes
249,PAYA RUMPUN ENTERPRISE,G1,PERAK,MANJUNG, 012-5064722, 05-6888515, Yes, Yes, Yes
250,PEMBINAAN MAHRAWI PARLAN,G1,PERAK,MANJUNG,56916785,56916785, Yes, Yes, Yes
251,PEMBINAAN SABRI,G1,PERAK,MANJUNG,125226789, -, Yes, Yes, Yes
252,PEMBINAAN SRI AWAN,G1,PERAK,MANJUNG, 01-24020729, -, Yes, Yes, Yes
253,PEMBORONG USAHA JAYA,G1,PERAK,MANJUNG, 01-25150575, -, Yes, Yes, Yes
254,PENAGA SUTRA ENTERPRISE,G1,PERAK,MANJUNG, -, 05-6915323, Yes, Yes, Yes
255,PENJANA IMPIAN ENTERPRISE,G1,PERAK,MANJUNG, 01-12649337, , Yes, Yes, Yes
256,PERIDAH BINA ENTERPRISE,G1,PERAK,MANJUNG,56887950, -, Yes, Yes, Yes
